feature,importance
C11,6.534860436607411
C14,4.67890846372246
C12,3.2196054486986534
DeviceInfo,3.069951821650521
R_emaildomain,2.6966039502773675
id_13,2.6493921018119315
addr2,2.4383143159016964
id_33,2.353474450336874
card3,2.3375825997996396
id_17,2.281307803562584
id_21,2.213680475139164
C6,2.182863691132166
V168,2.1558752653075692
id_14,2.1381109191704266
P_emaildomain,1.8081314409860643
C8,1.8017400455428314
V332,1.7651571440618645
id_26,1.685158820223573
id_25,1.6828848658862312
V178,1.5596008117724673
card5,1.5515435522575876
id_19,1.5130856406997484
id_23,1.4843145276830523
C4,1.3008633773205571
V177,1.2651079061126
ProductCD,1.242398858154889
V182,1.1996292540174731
V179,1.1663766977278949
id_15,1.1624787288893454
card1,1.152713454420768
id_30,1.1455579426878661
id_20,1.135406943489798
card2,1.1165011625488999
card4,1.1117663948438734
id_24,1.0875035929414456
DeviceType,1.0801987680533796
id_18,0.9923060237334347
id_29,0.9874114224258058
V143,0.9841122484627198
V323,0.9274092579905056
id_22,0.9139841296898238
C9,0.9041812355374135
V167,0.9034980062633508
V18,0.8940148585060489
id_32,0.8924838696884773
V71,0.8151746863753528
C10,0.7830401509460168
V333,0.7812792081852923
V58,0.7736408518380463
V203,0.7651302184669553
V164,0.7616931129128102
V57,0.738600459470137
id_31,0.7359930657748601
V211,0.7344193333337699
V72,0.7328864415429057
V17,0.711403222739316
id_34,0.7010615754796189
C3,0.6886439078223678
V149,0.6747583101456759
V294,0.6687758346032447
V219,0.6657436086443346
V218,0.6462303927989151
V204,0.6418327216935703
id_16,0.6364585620716706
V293,0.6359236322637531
V213,0.6253344256189809
V202,0.5863758079779845
V65,0.5761726271759873
V153,0.5560113699741331
C1,0.5535523558602811
V279,0.5437827643335098
V236,0.5219967810124005
card6,0.5117720430512468
V331,0.5109692277599707
V232,0.5036272248683039
V264,0.4997898732776176
V217,0.49749489257064455
addr1,0.46499033051388877
V199,0.4538192446029921
V150,0.45221490208255116
V155,0.447507911576072
V318,0.4469497503252737
V48,0.44376105859863885
V133,0.44221865440906605
V145,0.43814932462062495
V307,0.41449354414605827
V253,0.40861883993636217
V268,0.3928149126956382
V22,0.39266328081588553
M1,0.38762476162636006
has_identity,0.3817304159609928
V73,0.35498905189638513
M4,0.3519889301491645
id_12,0.3490567159321033
V308,0.3479786160226799
V222,0.34701286121426667
id_28,0.34649735235752005
V148,0.3461366351298192
C5,0.3379582189622566
V187,0.3340983979183817
V226,0.3303156528664105
V330,0.3260643056816367
id_27,0.3259671197369991
V90,0.32339736633999433
V192,0.3191747682756513
V207,0.31905052616397866
M3,0.3102630259277323
V257,0.30468874969640836
M5,0.30175189504792455
id_36,0.3009637393789258
D2,0.2993375039479054
V165,0.2968385819612752
V274,0.2903470496411129
V227,0.2888413317414428
V156,0.2873738983711195
V221,0.28612876716945035
V127,0.28515298866351674
V278,0.2839772974074849
V101,0.2710334872260948
V296,0.27021199997486295
V88,0.26927683852728274
V200,0.2674028024117153
V49,0.26612520723280425
V319,0.2627377266488032
V324,0.26232443587820614
V180,0.26154905887013696
V29,0.2598680098913972
V152,0.2575049617391401
V190,0.25737016479831587
V27,0.25004589853820125
V317,0.24971145561130695
V154,0.24806635275221328
V92,0.24771452153181925
V277,0.24642564306696144
V50,0.2447936290360899
V147,0.24241549282662517
V166,0.24052168778297026
V89,0.24012281521269502
V272,0.23786069649582114
V82,0.23694607717219499
V128,0.2354950375199609
V28,0.234089892273556
V30,0.23186855441576043
V322,0.22950634884625057
V38,0.22792706411531752
V105,0.22463018820414019
D1,0.2215201738488955
V74,0.22037828442461746
V189,0.2149134636014667
V78,0.2142137314051683
V134,0.2128412675543013
TransactionAmt,0.21205014400071967
V37,0.2101599598852197
V316,0.20891643691267464
V33,0.2039140412379634
V95,0.2011932294862095
D8,0.2003337641133754
V285,0.20020369965300816
V225,0.19967182767624594
V320,0.19681600699982515
V269,0.1956094244095067
C7,0.19437194054307555
V248,0.1942361735712488
V215,0.19401931808206183
M7,0.19222117009507056
D3,0.19221426854216137
V87,0.18528598732542342
V83,0.18414895691367053
V70,0.18409616714725227
V339,0.18310772882285817
V183,0.18251746432907986
V94,0.17944499311603976
V335,0.17850891059396617
V21,0.1778532820443921
V91,0.1765068571917791
V188,0.1762261791810335
V106,0.16650963371068392
V144,0.16650357911428698
V306,0.1656222580292126
V280,0.16489453215882943
id_38,0.16429656036767606
V35,0.1619840634403007
V270,0.16126560286685518
V283,0.15778366717194992
V326,0.15764594651809888
V276,0.15452882596575598
V85,0.15391744635923374
V282,0.15377515871939246
V310,0.1537726336210076
V103,0.15330243310790403
V174,0.15167168101808706
V231,0.1514926483576226
V96,0.15113947267682118
V68,0.1499566008818737
M9,0.147978341850011
C2,0.1454955757476385
V42,0.14205912631343987
V93,0.1420087035816878
V77,0.14045314457084443
V80,0.13957792138819466
id_01,0.13616557454665615
M2,0.1355603934891119
V175,0.13434931439914807
V209,0.13209171315155765
V338,0.13134014164714203
V34,0.13119174449723606
M6,0.13112266167585335
V84,0.1309127085689188
V32,0.1301899562820305
V252,0.12850911104699134
V292,0.12815694167414873
V216,0.12773909246705611
V336,0.12759761760062047
V24,0.12711861209364195
V254,0.126215162864107
V212,0.1260558880015328
V141,0.12568824016919725
V315,0.1251399080367513
V45,0.12467583431823877
V313,0.12325186042502098
V243,0.12253308008652845
V245,0.12228336103659301
V247,0.12182386399234095
V300,0.11885329576175437
TransactionDT,0.11561760602963245
V208,0.11490407560443397
V235,0.11474118275992543
V63,0.11349098124966082
V51,0.11320509905340137
V297,0.11211524158464008
V53,0.1116820055617635
V130,0.10999348630746722
V54,0.10714546704366773
V265,0.10668683668472262
V75,0.10668609412282841
D5,0.10514352165211781
V14,0.10073621019684302
V271,0.1002084182665614
V62,0.09949739740033568
V273,0.09947868973511212
V301,0.09943761241932146
V113,0.09831457819014834
V157,0.09821460060563131
V191,0.09736821336170123
V267,0.09655456762434159
V299,0.0947870074917777
V108,0.09346144840384561
V210,0.09333012231928989
V12,0.0930393361164742
V163,0.09246313472291985
V321,0.09208142983686596
V298,0.09180503092884022
V110,0.09144448250272028
V126,0.09119459680243144
V20,0.09083092935446863
V162,0.09044855120368613
V239,0.0903080291323984
id_11,0.08982679874274899
id_04,0.08887751238209174
V233,0.0882728663861969
V111,0.08822718385739624
V132,0.08802952221750766
V60,0.08719207894988416
V214,0.08683436046751868
V291,0.08628238722917844
V44,0.08624724427205031
V81,0.08548170028283511
V86,0.08482931958122265
V31,0.08416170826844552
V262,0.0832116640893976
V337,0.08315926302531493
V295,0.08305055322302066
V311,0.08286815464779122
V120,0.08216452111391594
V76,0.08189279502287475
id_02,0.08106260128182458
V266,0.08038513469206796
V23,0.07997232373139596
V193,0.07966544016048853
V131,0.0794859152069922
V137,0.07830830501112408
V16,0.07817008125669565
V286,0.07665703086705739
V43,0.07650965323924622
V15,0.0762094147570171
V10,0.07613166138339308
id_35,0.07558975576056635
V158,0.0752449533181753
V172,0.07515718767348409
V118,0.07399238901492446
V238,0.0734653483864552
V52,0.07228431066156951
V142,0.0721840917070033
V206,0.0703138553991659
V66,0.06980063334955708
V64,0.06834248619305362
V19,0.06776918628945004
V61,0.06654783381376543
V59,0.06595705007624839
V56,0.06567699508397955
V259,0.06452139350778001
V328,0.06374409317476805
V309,0.06310062710194148
V195,0.06303866433930057
V129,0.06281873712498807
M8,0.06272838473470244
V146,0.06261279749728763
V160,0.062072395717029716
V6,0.061004903220574835
V249,0.05899723952425803
V55,0.05860053684410547
V40,0.05824584143027088
V196,0.05777207435473395
V246,0.057475250766161154
V136,0.05733232145922338
V229,0.0573310524200718
V170,0.057299245151060274
V98,0.0570824172025408
V260,0.056394842758817475
V237,0.05545676600517994
V139,0.05483337565244387
V3,0.054467388582594575
V284,0.054461122939718484
V186,0.053750997234001716
V39,0.05267658099634277
V109,0.05190026957436194
V194,0.05081200083176825
V47,0.05025061424299766
V228,0.05020767820509336
V25,0.04887453541087567
V327,0.04762313916003144
V138,0.04742515126238428
V161,0.04715340700021498
V122,0.046718564506081924
id_03,0.045591198362215146
V116,0.04517690233149553
V256,0.04486082759629872
V140,0.04469682863296758
D11,0.04450601026538407
V181,0.04356463212147899
V124,0.043434626359505346
V288,0.04329908972169077
V67,0.04295712456321289
V159,0.042572485115533014
C13,0.04220353724541934
V302,0.04215572968565392
V114,0.04214744471977923
V263,0.04105733208896469
V1,0.040462160181394494
V13,0.04025219674766686
V198,0.04003822199442553
id_09,0.03984452574077315
V251,0.03923171012330698
D7,0.03897791046684425
V261,0.03867409243371001
V115,0.0385801140691458
V312,0.03725128072280362
D12,0.03720486319566089
V5,0.03695410776002361
V173,0.03690767606711626
V119,0.03675013556860427
V234,0.03534744718343844
V304,0.035227707679802635
V220,0.034574395209598895
V197,0.03419421014789053
V287,0.033356172249725
V125,0.03302585986138509
V11,0.03256201752168755
V185,0.03197086007538521
V281,0.03153579203295978
V334,0.02972343738034768
V242,0.028364723583466728
D4,0.02785563963164667
D15,0.02758403546995668
id_10,0.02754342583787431
V121,0.027032830424017433
V303,0.026922655053798043
dist1,0.026453096646101994
V2,0.026436569842340486
V224,0.02605342097773854
V223,0.024919122716903976
V305,0.024375228672140432
V171,0.02424377729054978
V112,0.023734149026015176
V107,0.023239543952997595
V290,0.02265212143286214
V97,0.022588647552043352
V275,0.02227172266670743
V241,0.021896534245771763
V258,0.021732188591218275
V104,0.021406049087340485
id_08,0.020901684115668707
V117,0.0207286054706033
V205,0.020338203702682616
V250,0.019508163277713972
V36,0.01882753167755222
V314,0.018193178040046776
V69,0.017647840491231494
V41,0.016541005247383726
V135,0.015623251965162264
V46,0.014205184312778391
D10,0.013908251542940972
V26,0.013253441194817375
V7,0.01317383945801814
V79,0.012689942320510988
V201,0.012519268089556869
V9,0.012145899140043846
V329,0.011785425111620793
V244,0.01149590060219856
D13,0.011421882177173116
V184,0.011250631150483824
D6,0.01092524095256179
id_05,0.010775466975154836
id_37,0.010269516895411805
V230,0.009463038157947702
V151,0.009368834113836816
V325,0.008976440854459374
V4,0.008634336838464422
D14,0.008449160215713104
V100,0.008406433441729998
V255,0.007585506059883445
V99,0.007120082644089351
V176,0.007063758336291401
V102,0.0050259340278662685
D9,0.005024109812609
V123,0.004419991461978259
V289,0.0038322999516338403
V8,0.0035015675773975713
id_07,0.0033754067365650265
dist2,0.0030053124647063645
V169,0.002192016824897182
id_06,0.0007211052798133376
V240,0.0001317575457075826
